Minister,Date,Name of Individual or Organisation,Purpose of Meeting
Sir Keir Starmer,2025-04-11,"Metro Mayors of Greater Manchester, Liverpool City Region, North Yorkshire, West Yorkshire, South Yorkshire, West Midlands, East Midlands, Tees Valley, Cambridgeshire and Peterborough, North East England, London",Video meeting with the Metro Mayors and devolved Governments to discuss the impact of US tariffs on key regional industries
Sir Keir Starmer,2025-04-24,"Family of Zane Gbangbola, Fire Brigades Union, Bishop James Jones KBE",To discuss issues surrounding the death of Zane Gbangbola in 2014
Sir Keir Starmer,2025-04-29,HSBC Holdings,To discuss the UK financial sector
Sir Keir Starmer,2025-04-29,"FIFA, The Twinning Project","To discuss FIFA's development and growth of football globally and the role of The Twinning Project to help rehabilitate prisoners, reduce reoffending and create safer communities"
Sir Keir Starmer,2025-05-08,"Jaguar Land Rover, International Airlines Group, Tata Steel, Diageo, HSBC, Barclays, Unilever, GSK, Reckitt Benkiser, Airbus",Video meeting with business leaders during visit to discuss the US trade deal
Sir Keir Starmer,2025-05-12,JP Morgan Chase,To discuss international trade deals and creating opportunities for business investments in the UK
Sir Keir Starmer,2025-05-20,BlackRock,"To discuss the UK economy, Artificial Intelligence and opportunities for investment in UK AI infrastructure"
Sir Keir Starmer,2025-05-21,Cheryl Pratt Korbel and family member,To discuss Parliamentary progress of a new law to ensure offenders attend their sentencing hearing
Sir Keir Starmer,2025-05-22,"Caroline Waterston, Editor of the Daily Mirror",To discuss the Government's activities and priorities
Sir Keir Starmer,2025-05-22,"Victoria Newton, Editor of The Sun",To discuss the Government's activities and priorities
Sir Keir Starmer,2025-05-23,"Mayors of West Yorkshire, Cambridgeshire & Peterborough, Greater Manchester, Hull & East Yorkshire, South Yorkshire, West of England, Greater Lincolnshire, London, Tees Valley, North East, West Midlands, Liverpool, York & North Yorkshire, East Midlands","Council of Nations and Regions to discuss the impacts of US trade tariffs, and Artificial Intelligence"
Sir Keir Starmer,2025-05-28,Families of the victims of the Bicester fire incident,During visit to meet and hear from the bereaved families about the incident and the victims
Sir Keir Starmer,2025-05-28,"Margaret Aspinall, Hillsborough Families Forum",During visit to discuss progress on the development of a Hillsborough Law
Sir Keir Starmer,2025-05-30,"World War II Veterans, Taxi Charity for Military Veterans",To discuss their role in the D-Day landings and the support given to all military veterans by the Taxi Charity for Military Veterans
Sir Keir Starmer,2025-06-02,The Mayor of London,To discuss economic growth and investment in London
Sir Keir Starmer,2025-06-04,"Mission 44, Oasis Charitable Trust, CAPE, The Education Alliance, Chartered College of Teaching, Oasis Academy Shirley Park, The Grange Academy, Co-op Academy Leeds, Reach Foundation, Fair Education Alliance, Sky",Roundtable to discuss the power of education to improve life chances for young people
